activity_id,name,cluster_id,category,subcategory,data_status,romantic_score,authentic_score,duration_min,area,payload_json
PFO-A031,Kato Akourdaleia Folk Art Museum,C04,Culture & Indoor,Folk Art Museum,Verified,7,10,45,Kato Akourdaleia,"{""Activity_ID"": ""PFO-A031"", ""Activity_Name"": ""Kato Akourdaleia Folk Art Museum"", ""Category"": ""Culture & Indoor"", ""Subcategory"": ""Folk Art Museum"", ""District"": ""Paphos"", ""Area"": ""Kato Akourdaleia"", ""Full_Address_or_Access_Point"": ""Kato Akourdaleia village, Paphos"", ""Website"": ""https://www.visitpafos.org.cy/a-proud-heritage/museums/"", ""Phone"": ""+357 26 306 216"", ""Opening_Days"": ""Monday–Friday; weekends closed"", ""Opening_Hours"": ""Mon/Tue/Wed/Fri 08:00–14:30; Thu 08:00–17:00"", ""Typical_Duration_Min"": 45, ""Price_Range"": ""€"", ""Booking_Required"": ""No"", ""Rain_Suitable"": ""Yes"", ""Heatwave_Suitable"": ""Yes"", ""Romantic_Score_1_10"": 7, ""Authentic_Cyprus_Score_1_10"": 10, ""Source_Primary"": ""https://www.visitpafos.org.cy/a-proud-heritage/museums/"", ""Last_Verified"": 46259, ""Data_Status"": ""Verified"", ""Source_Sheet"": ""Indoor"", ""Source_Record_ID"": ""MASTER:PFO-A031"", ""Notes"": ""Small rural folk-art museum; best used when already routing through Akourdaleia/Laona."", ""Parsed_Open_Time"": 0.3333333333333333, ""Parsed_Close_Time"": 0.7083333333333334, ""Time_Parse_Confidence"": ""MEDIUM"", ""Time_Parse_Note"": ""Parsed explicit range from text: 08:00 to 17:00. Seasonal/multiple-session details may still require recheck."", ""Time_Slot_Usable"": ""Yes""}"
PFO-A032,Palaipafos Museum / Sanctuary of Aphrodite,C02,Culture & Indoor,Archaeological Museum / Mythology,Verified,10,10,75,Kouklia,"{""Activity_ID"": ""PFO-A032"", ""Activity_Name"": ""Palaipafos Museum / Sanctuary of Aphrodite"", ""Category"": ""Culture & Indoor"", ""Subcategory"": ""Archaeological Museum / Mythology"", ""District"": ""Paphos"", ""Area"": ""Kouklia"", ""Full_Address_or_Access_Point"": ""Palaipafos Archaeological Site, Kouklia"", ""Website"": ""https://www.visitpafos.org.cy/a-proud-heritage/museums/"", ""Phone"": ""+357 26 432 180"", ""Opening_Days"": ""Monday–Sunday"", ""Opening_Hours"": ""Winter 08:30–17:00; Summer 08:30–19:30"", ""Typical_Duration_Min"": 75, ""Price_Range"": ""€"", ""Booking_Required"": ""No"", ""Rain_Suitable"": ""Yes"", ""Heatwave_Suitable"": ""Conditional"", ""Romantic_Score_1_10"": 10, ""Authentic_Cyprus_Score_1_10"": 10, ""Source_Primary"": ""https://www.visitpafos.org.cy/a-proud-heritage/museums/"", ""Source_Secondary"": ""https://www.visitpafos.org.cy/a-proud-heritage/archaeological-sites/"", ""Last_Verified"": 46259, ""Data_Status"": ""Verified"", ""Source_Sheet"": ""Indoor"", ""Source_Record_ID"": ""MASTER:PFO-A032"", ""Notes"": ""Very high-value romantic mythology stop; entrance includes archaeological site. Outdoor section should be timed outside extreme heat."", ""Parsed_Open_Time"": 0.3541666666666667, ""Parsed_Close_Time"": 0.8125, ""Time_Parse_Confidence"": ""MEDIUM"", ""Time_Parse_Note"": ""Parsed explicit range from text: 08:30 to 19:30. Seasonal/multiple-session details may still require recheck."", ""Time_Slot_Usable"": ""Yes""}"
PFO-A033,Kritou Terra Environmental Study Centre,C04,Culture & Indoor,Environmental Centre,Draft,7,10,75,Kritou Terra,"{""Activity_ID"": ""PFO-A033"", ""Activity_Name"": ""Kritou Terra Environmental Study Centre"", ""Category"": ""Culture & Indoor"", ""Subcategory"": ""Environmental Centre"", ""District"": ""Paphos"", ""Area"": ""Kritou Terra"", ""Full_Address_or_Access_Point"": ""Kritou Terra village, Paphos"", ""Website"": ""https://www.visitpafos.org.cy/off-the-beaten-track/nature/"", ""Opening_Days"": ""Programme/visitor hours to confirm"", ""Opening_Hours"": ""Confirm directly"", ""Typical_Duration_Min"": 75, ""Price_Range"": ""Unknown"", ""Booking_Required"": ""Recommended"", ""Indoor_Outdoor_Both"": ""Indoor"", ""Summer_Suitable"": ""Yes"", ""Winter_Suitable"": ""Yes"", ""Rain_Suitable"": ""Yes"", ""Heatwave_Suitable"": ""Yes"", ""Sunset_Suitable"": ""No"", ""Romantic_Score_1_10"": 7, ""Authentic_Cyprus_Score_1_10"": 10, ""Couple_Style"": ""Nature"", ""Best_Time_of_Day"": ""Daytime"", ""Accessibility_or_Access_Notes"": ""Educational programmes cover forest/freshwater ecology and landscape"", ""Source_Primary"": ""https://www.visitpafos.org.cy/off-the-beaten-track/nature/"", ""Source_Secondary"": ""https://www.visitpafos.org.cy/digital-experience/?lang=ru"", ""Last_Verified"": 46259, ""Data_Status"": ""Draft"", ""Source_Sheet"": ""New Research"", ""Source_Record_ID"": ""MASTER:PFO-A033"", ""Notes"": ""Good inland educational activity and rainy-day option."", ""Time_Parse_Confidence"": ""LOW"", ""Time_Parse_Note"": ""Operator confirmation/booking required; no safe automatic time window."", ""Time_Slot_Usable"": ""No""}"
PFO-A034,Archaeological Museum of the Pafos District,C01,Culture & Indoor,Museum,Verified,6,10,75,Paphos Town,"{""Activity_ID"": ""PFO-A034"", ""Activity_Name"": ""Archaeological Museum of the Pafos District"", ""Category"": ""Culture & Indoor"", ""Subcategory"": ""Museum"", ""District"": ""Paphos"", ""Area"": ""Paphos Town"", ""Full_Address_or_Access_Point"": ""43 Griva Digeni Avenue, Paphos"", ""Latitude"": 34.771652, ""Longitude"": 32.430317, ""Website"": ""https://www.visitcyprus.com/discover-cyprus/culture/museums-galleries/archaeological-museum-of-the-pafos-paphos-district/"", ""Phone"": ""+357 26 955 801"", ""Opening_Days"": ""Tuesday–Sunday"", ""Opening_Hours"": ""09:00–16:30"", ""Typical_Duration_Min"": 75, ""Price_Range"": ""Free"", ""Booking_Required"": ""No"", ""Rain_Suitable"": ""Yes"", ""Heatwave_Suitable"": ""Yes"", ""Romantic_Score_1_10"": 6, ""Authentic_Cyprus_Score_1_10"": 10, ""Source_Primary"": ""https://www.visitcyprus.com/discover-cyprus/culture/museums-galleries/archaeological-museum-of-the-pafos-paphos-district/"", ""Source_Secondary"": ""https://www.mcw.gov.cy/da"", ""Last_Verified"": ""2026-08-25"", ""Data_Status"": ""Verified"", ""Source_Sheet"": ""Indoor"", ""Source_Record_ID"": ""MASTER:PFO-A034"", ""Notes"": ""Excellent rain/heatwave cultural alternative."", ""Parsed_Open_Time"": 0.375, ""Parsed_Close_Time"": 0.6875, ""Time_Parse_Confidence"": ""MEDIUM"", ""Time_Parse_Note"": ""Parsed explicit range from text: 09:00 to 16:30. Seasonal/multiple-session details may still require recheck."", ""Time_Slot_Usable"": ""Yes""}"
PFO-A035,Pafos Ethnographical Museum,C01,Culture & Indoor,Ethnographic Museum,Verified,8,10,75,Paphos Town,"{""Activity_ID"": ""PFO-A035"", ""Activity_Name"": ""Pafos Ethnographical Museum"", ""Category"": ""Culture & Indoor"", ""Subcategory"": ""Ethnographic Museum"", ""District"": ""Paphos"", ""Area"": ""Paphos Town"", ""Full_Address_or_Access_Point"": ""1 Exo Vrisis Street, Pafos"", ""Website"": ""https://www.visitpafos.org.cy/?page_id=30316"", ""Phone"": ""+357 26 932 010 / +357 26 944 833 / +357 99 413 244"", ""Opening_Days"": ""Monday–Sunday"", ""Opening_Hours"": ""Mon–Sat 10:00–17:00; Sun 11:00–13:00"", ""Typical_Duration_Min"": 75, ""Price_Range"": ""€"", ""Booking_Required"": ""No"", ""Rain_Suitable"": ""Yes"", ""Heatwave_Suitable"": ""Yes"", ""Romantic_Score_1_10"": 8, ""Authentic_Cyprus_Score_1_10"": 10, ""Source_Primary"": ""https://www.visitpafos.org.cy/?page_id=30316"", ""Source_Secondary"": ""https://www.visitpafos.org.cy/a-proud-heritage/museums/"", ""Last_Verified"": 46259, ""Data_Status"": ""Verified"", ""Source_Sheet"": ""Indoor"", ""Source_Record_ID"": ""MASTER:PFO-A035"", ""Notes"": ""Private museum in historic 1894 house; strong authentic-Cyprus content and good Sunday option."", ""Parsed_Open_Time"": 0.4166666666666667, ""Parsed_Close_Time"": 0.7083333333333334, ""Time_Parse_Confidence"": ""MEDIUM"", ""Time_Parse_Note"": ""Parsed explicit range from text: 10:00 to 17:00. Seasonal/multiple-session details may still require recheck."", ""Time_Slot_Usable"": ""Yes""}"
PFO-A036,Byzantine Museum of Arsinoe,C07,Culture & Indoor,Museum / Byzantine Culture,Verified,6,10,60,Peristerona,"{""Activity_ID"": ""PFO-A036"", ""Activity_Name"": ""Byzantine Museum of Arsinoe"", ""Category"": ""Culture & Indoor"", ""Subcategory"": ""Museum / Byzantine Culture"", ""District"": ""Paphos"", ""Area"": ""Peristerona"", ""Full_Address_or_Access_Point"": ""Peristerona village, 9 km south of Polis"", ""Website"": ""https://www.visitcyprus.com/discover-cyprus/rural/museums-galleries-rural/byzantine-museum-of-arsinoe-2/"", ""Phone"": ""+357 26 352 515"", ""Opening_Days"": ""Monday–Friday"", ""Opening_Hours"": ""1 Sep–1 Apr: 10:00–16:00; 2 Apr–31 Aug: 10:00–13:00 / 15:00–18:00"", ""Typical_Duration_Min"": 60, ""Price_Range"": ""€"", ""Booking_Required"": ""No"", ""Rain_Suitable"": ""Yes"", ""Heatwave_Suitable"": ""Yes"", ""Romantic_Score_1_10"": 6, ""Authentic_Cyprus_Score_1_10"": 10, ""Source_Primary"": ""https://www.visitcyprus.com/discover-cyprus/rural/museums-galleries-rural/byzantine-museum-of-arsinoe-2/"", ""Source_Secondary"": ""https://www.impaphou.org"", ""Last_Verified"": ""2026-08-25"", ""Data_Status"": ""Verified"", ""Source_Sheet"": ""Indoor"", ""Source_Record_ID"": ""MASTER:PFO-A036"", ""Notes"": ""Closed weekends; useful Polis-area indoor option."", ""Parsed_Open_Time"": 0.4166666666666667, ""Parsed_Close_Time"": 0.75, ""Time_Parse_Confidence"": ""MEDIUM"", ""Time_Parse_Note"": ""Parsed explicit range from text: 10:00 to 18:00. Seasonal/multiple-session details may still require recheck."", ""Time_Slot_Usable"": ""Yes""}"
PFO-A037,Polis Archaeological Museum Marion / Arsinoe,C05,Culture & Indoor,Archaeological Museum,Verified,7,10,60,Polis Chrysochous,"{""Activity_ID"": ""PFO-A037"", ""Activity_Name"": ""Polis Archaeological Museum Marion / Arsinoe"", ""Category"": ""Culture & Indoor"", ""Subcategory"": ""Archaeological Museum"", ""District"": ""Paphos"", ""Area"": ""Polis Chrysochous"", ""Full_Address_or_Access_Point"": ""26 Leoforos Makariou III, Polis Chrysochous"", ""Website"": ""https://www.visitpafos.org.cy/a-proud-heritage/museums/"", ""Phone"": ""+357 26 322 955"", ""Opening_Days"": ""Monday–Saturday"", ""Opening_Hours"": ""Mon–Fri 08:00–16:00; Sat 09:00–15:00"", ""Typical_Duration_Min"": 60, ""Price_Range"": ""€"", ""Booking_Required"": ""No"", ""Rain_Suitable"": ""Yes"", ""Heatwave_Suitable"": ""Yes"", ""Romantic_Score_1_10"": 7, ""Authentic_Cyprus_Score_1_10"": 10, ""Source_Primary"": ""https://www.visitpafos.org.cy/a-proud-heritage/museums/"", ""Last_Verified"": 46259, ""Data_Status"": ""Verified"", ""Source_Sheet"": ""Indoor"", ""Source_Record_ID"": ""MASTER:PFO-A037"", ""Notes"": ""Useful indoor cultural option for Polis/Latchi itineraries; wheelchair accessible according to ETAP."", ""Parsed_Open_Time"": 0.3333333333333333, ""Parsed_Close_Time"": 0.6666666666666666, ""Time_Parse_Confidence"": ""MEDIUM"", ""Time_Parse_Note"": ""Parsed explicit range from text: 08:00 to 16:00. Seasonal/multiple-session details may still require recheck."", ""Time_Slot_Usable"": ""Yes""}"
PFO-A038,Salamiou Environmental Education Centre,C11,Culture & Indoor,Environmental Centre,Draft,7,10,75,Salamiou,"{""Activity_ID"": ""PFO-A038"", ""Activity_Name"": ""Salamiou Environmental Education Centre"", ""Category"": ""Culture & Indoor"", ""Subcategory"": ""Environmental Centre"", ""District"": ""Paphos"", ""Area"": ""Salamiou"", ""Full_Address_or_Access_Point"": ""Salamiou village, Paphos"", ""Website"": ""https://www.visitpafos.org.cy/off-the-beaten-track/nature/"", ""Opening_Days"": ""Programme/visitor hours to confirm"", ""Opening_Hours"": ""Confirm directly"", ""Typical_Duration_Min"": 75, ""Price_Range"": ""Unknown"", ""Booking_Required"": ""Recommended"", ""Indoor_Outdoor_Both"": ""Indoor"", ""Summer_Suitable"": ""Yes"", ""Winter_Suitable"": ""Yes"", ""Rain_Suitable"": ""Yes"", ""Heatwave_Suitable"": ""Yes"", ""Sunset_Suitable"": ""No"", ""Romantic_Score_1_10"": 7, ""Authentic_Cyprus_Score_1_10"": 10, ""Couple_Style"": ""Nature"", ""Best_Time_of_Day"": ""Daytime"", ""Accessibility_or_Access_Notes"": ""Natura 2000 ecosystem and local flora/fauna interpretation"", ""Source_Primary"": ""https://www.visitpafos.org.cy/off-the-beaten-track/nature/"", ""Source_Secondary"": ""https://www.visitpafos.org.cy/?page_id=8513"", ""Last_Verified"": 46259, ""Data_Status"": ""Draft"", ""Source_Sheet"": ""New Research"", ""Source_Record_ID"": ""MASTER:PFO-A038"", ""Notes"": ""Pairs naturally with Lagria Winery and Salamiou village."", ""Time_Parse_Confidence"": ""LOW"", ""Time_Parse_Note"": ""Operator confirmation/booking required; no safe automatic time window."", ""Time_Slot_Usable"": ""No""}"
PFO-A039,Steni Museum of Village Life,C07,Culture & Indoor,Village Life Museum,Draft,7,10,60,Steni,"{""Activity_ID"": ""PFO-A039"", ""Activity_Name"": ""Steni Museum of Village Life"", ""Category"": ""Culture & Indoor"", ""Subcategory"": ""Village Life Museum"", ""District"": ""Paphos"", ""Area"": ""Steni"", ""Full_Address_or_Access_Point"": ""Steni village, Paphos"", ""Website"": ""https://www.visitpafos.org.cy/digital-experience/?lang=ru"", ""Opening_Days"": ""Operating details require direct confirmation"", ""Opening_Hours"": ""Confirm directly"", ""Typical_Duration_Min"": 60, ""Price_Range"": ""Unknown"", ""Booking_Required"": ""Recommended"", ""Indoor_Outdoor_Both"": ""Indoor"", ""Summer_Suitable"": ""Yes"", ""Winter_Suitable"": ""Yes"", ""Rain_Suitable"": ""Yes"", ""Heatwave_Suitable"": ""Yes"", ""Sunset_Suitable"": ""No"", ""Romantic_Score_1_10"": 7, ""Authentic_Cyprus_Score_1_10"": 10, ""Couple_Style"": ""Authentic Cyprus"", ""Best_Time_of_Day"": ""Daytime"", ""Accessibility_or_Access_Notes"": ""Exact hours/contact to verify before public use"", ""Source_Primary"": ""https://www.visitpafos.org.cy/digital-experience/?lang=ru"", ""Source_Secondary"": ""https://marmaras-lysos.com/el/%CF%83%CF%87%CE%B5%CF%84%CE%B9%CE%BA%CE%B1-%CE%BC%CE%B5-%CE%B5%CE%BC%CE%B1%CF%83/"", ""Last_Verified"": 46259, ""Data_Status"": ""Draft"", ""Source_Sheet"": ""New Research"", ""Source_Record_ID"": ""MASTER:PFO-A039"", ""Notes"": ""Important for Steni/Lysos/Peristerona rural coverage."", ""Time_Parse_Confidence"": ""LOW"", ""Time_Parse_Note"": ""Operator confirmation/booking required; no safe automatic time window."", ""Time_Slot_Usable"": ""No""}"
PFO-A040,Agios Neophytos Monastery Museum & Enkleistra,C08,Culture & Indoor,Museum / Monastery,Verified,8,10,75,Tala,"{""Activity_ID"": ""PFO-A040"", ""Activity_Name"": ""Agios Neophytos Monastery Museum & Enkleistra"", ""Category"": ""Culture & Indoor"", ""Subcategory"": ""Museum / Monastery"", ""District"": ""Paphos"", ""Area"": ""Tala"", ""Full_Address_or_Access_Point"": ""Near Tala village, 9 km north of Pafos"", ""Latitude"": 34.846749, ""Longitude"": 32.445679, ""Website"": ""https://www.visitcyprus.com/discover-cyprus/culture/museums-galleries/agios-neophytos-monastery-museum/"", ""Phone"": ""+357 26 652 481"", ""Opening_Days"": ""Daily"", ""Opening_Hours"": ""Apr–Oct: 09:00–13:00 / 14:00–18:00; Nov–Mar: 09:00–16:00"", ""Typical_Duration_Min"": 75, ""Price_Range"": ""€"", ""Booking_Required"": ""No"", ""Rain_Suitable"": ""Yes"", ""Heatwave_Suitable"": ""Yes"", ""Romantic_Score_1_10"": 8, ""Authentic_Cyprus_Score_1_10"": 10, ""Source_Primary"": ""https://www.visitcyprus.com/discover-cyprus/culture/museums-galleries/agios-neophytos-monastery-museum/"", ""Source_Secondary"": ""https://www.stneophytos.org.cy"", ""Last_Verified"": ""2026-08-25"", ""Data_Status"": ""Verified"", ""Source_Sheet"": ""Indoor"", ""Source_Record_ID"": ""MASTER:PFO-A040"", ""Notes"": ""Museum/Enkleistra ticket €2 per Visit Cyprus."", ""Parsed_Open_Time"": 0.375, ""Parsed_Close_Time"": 0.75, ""Time_Parse_Confidence"": ""MEDIUM"", ""Time_Parse_Note"": ""Parsed explicit range from text: 09:00 to 18:00. Seasonal/multiple-session details may still require recheck."", ""Time_Slot_Usable"": ""Yes""}"
PFO-A041,Old Town Pafos Crafts & Municipal Market Walk,C01,Experience,Creative Tourism / Local Market,Verified,9,10,90,Old Town Pafos,"{""Activity_ID"": ""PFO-A041"", ""Activity_Name"": ""Old Town Pafos Crafts & Municipal Market Walk"", ""Category"": ""Experience"", ""Subcategory"": ""Creative Tourism / Local Market"", ""District"": ""Paphos"", ""Area"": ""Old Town Pafos"", ""Full_Address_or_Access_Point"": ""Pafos Old Town / Municipal Market area"", ""Website"": ""https://www.visitpafos.org.cy/?page_id=7826"", ""Opening_Days"": ""General district activity; individual shops vary"", ""Opening_Hours"": ""Best during normal market/shop hours; verify individual workshop before booking"", ""Typical_Duration_Min"": 90, ""Price_Range"": ""Free"", ""Booking_Required"": ""No"", ""Indoor_Outdoor_Both"": ""Both"", ""Summer_Suitable"": ""Yes"", ""Winter_Suitable"": ""Yes"", ""Rain_Suitable"": ""Conditional"", ""Heatwave_Suitable"": ""Conditional"", ""Romantic_Score_1_10"": 9, ""Authentic_Cyprus_Score_1_10"": 10, ""Couple_Style"": ""Authentic Cyprus"", ""Accessibility_or_Access_Notes"": ""Individual workshops and shops have independent hours"", ""Source_Primary"": ""https://www.visitpafos.org.cy/?page_id=7826"", ""Source_Secondary"": ""https://www.visitpafos.org.cy/?page_id=8524"", ""Last_Verified"": 46259, ""Data_Status"": ""Verified"", ""Source_Sheet"": ""Experiences"", ""Source_Record_ID"": ""MASTER:PFO-A041"", ""Notes"": ""Includes market, local products and crafts such as ceramics, copperware, weaving and handmade jewellery; use as flexible exploration block."", ""Time_Parse_Confidence"": ""LOW"", ""Time_Parse_Note"": ""No parsable operating window."", ""Time_Slot_Usable"": ""No""}"
PFO-A042,Sterna Boutique Winery & Wine Museum,C04,Food & Wine,Winery / Wine Tasting,Verified,10,10,75,Kathikas,"{""Activity_ID"": ""PFO-A042"", ""Activity_Name"": ""Sterna Boutique Winery & Wine Museum"", ""Category"": ""Food & Wine"", ""Subcategory"": ""Winery / Wine Tasting"", ""District"": ""Paphos"", ""Area"": ""Kathikas"", ""Full_Address_or_Access_Point"": ""Sternas 50, Kathikas Village, 8573 Paphos, Cyprus"", ""Website"": ""https://sterna-winery.com/"", ""Phone"": ""+357 99 170 699 / +357 97 690 231"", ""Opening_Days"": ""Monday–Sunday"", ""Opening_Hours"": ""08:00–17:00"", ""Typical_Duration_Min"": 75, ""Price_Range"": ""€€"", ""Booking_Required"": ""No for small parties; groups >10 reserve"", ""Indoor_Outdoor_Both"": ""Both"", ""Summer_Suitable"": ""Yes"", ""Winter_Suitable"": ""Yes"", ""Rain_Suitable"": ""Yes"", ""Romantic_Score_1_10"": 10, ""Authentic_Cyprus_Score_1_10"": 10, ""Source_Primary"": ""https://sterna-winery.com/"", ""Source_Secondary"": ""https://sterna-winery.com/our-story/contact/"", ""Last_Verified"": 46259, ""Data_Status"": ""Verified"", ""Source_Sheet"": ""Wineries"", ""Source_Record_ID"": ""MASTER:PFO-A042"", ""Notes"": ""Boutique winery and wine museum; daily drop-in visits shown on official site."", ""Parsed_Open_Time"": 0.3333333333333333, ""Parsed_Close_Time"": 0.7083333333333334, ""Time_Parse_Confidence"": ""MEDIUM"", ""Time_Parse_Note"": ""Parsed explicit range from text: 08:00 to 17:00. Seasonal/multiple-session details may still require recheck."", ""Time_Slot_Usable"": ""Yes""}"
PFO-A043,Vasilikon Winery,C04,Food & Wine,Winery / Wine Tasting,Verified,10,10,75,Kathikas,"{""Activity_ID"": ""PFO-A043"", ""Activity_Name"": ""Vasilikon Winery"", ""Category"": ""Food & Wine"", ""Subcategory"": ""Winery / Wine Tasting"", ""District"": ""Paphos"", ""Area"": ""Kathikas"", ""Full_Address_or_Access_Point"": ""Kathikas 8573, Paphos, Cyprus"", ""Website"": ""https://vasilikon.com/"", ""Phone"": ""+357 26 633 999"", ""Opening_Days"": ""Monday–Saturday; Sundays/public holidays excluded by official contact page"", ""Opening_Hours"": ""Summer 08:30–18:00; Winter 08:30–17:00"", ""Typical_Duration_Min"": 75, ""Price_Range"": ""€€"", ""Booking_Required"": ""Recommended"", ""Indoor_Outdoor_Both"": ""Both"", ""Summer_Suitable"": ""Yes"", ""Winter_Suitable"": ""Yes"", ""Rain_Suitable"": ""Yes"", ""Romantic_Score_1_10"": 10, ""Authentic_Cyprus_Score_1_10"": 10, ""Source_Primary"": ""https://vasilikon.com/contact/"", ""Source_Secondary"": ""https://www.visitpafos.org.cy/off-the-beaten-track/wineries/"", ""Last_Verified"": 46259, ""Data_Status"": ""Verified"", ""Source_Sheet"": ""Wineries"", ""Source_Record_ID"": ""MASTER:PFO-A043"", ""Notes"": ""Official winery site confirms opening hours and on-site restaurant 10:00–16:00. Strong Laona-Akamas wine-route option."", ""Parsed_Open_Time"": 0.3541666666666667, ""Parsed_Close_Time"": 0.75, ""Time_Parse_Confidence"": ""MEDIUM"", ""Time_Parse_Note"": ""Parsed explicit range from text: 08:30 to 18:00. Seasonal/multiple-session details may still require recheck."", ""Time_Slot_Usable"": ""Yes""}"
PFO-A044,Tsangarides Winery,C08,Food & Wine,Winery / Wine Tasting,Verified,10,10,75,Lemona,"{""Activity_ID"": ""PFO-A044"", ""Activity_Name"": ""Tsangarides Winery"", ""Category"": ""Food & Wine"", ""Subcategory"": ""Winery / Wine Tasting"", ""District"": ""Paphos"", ""Area"": ""Lemona"", ""Full_Address_or_Access_Point"": ""Tsangarides Winery, Lemona Village, Paphos 8545, Cyprus"", ""Website"": ""https://tsangarideswinery.com/"", ""Phone"": ""+357 26 722 777"", ""Opening_Days"": ""Monday–Sunday"", ""Opening_Hours"": ""10:00–18:00"", ""Typical_Duration_Min"": 75, ""Price_Range"": ""€€"", ""Booking_Required"": ""Yes"", ""Indoor_Outdoor_Both"": ""Both"", ""Summer_Suitable"": ""Yes"", ""Winter_Suitable"": ""Yes"", ""Rain_Suitable"": ""Yes"", ""Romantic_Score_1_10"": 10, ""Authentic_Cyprus_Score_1_10"": 10, ""Source_Primary"": ""https://tsangarideswinery.com/contact/"", ""Source_Secondary"": ""https://www.tsangarideswinery.com/events/"", ""Last_Verified"": ""2026-08-25"", ""Data_Status"": ""Verified"", ""Source_Sheet"": ""Wineries"", ""Source_Record_ID"": ""MASTER:PFO-A044"", ""Notes"": ""Guided tastings available; official website lists daily hours."", ""Parsed_Open_Time"": 0.4166666666666667, ""Parsed_Close_Time"": 0.75, ""Time_Parse_Confidence"": ""MEDIUM"", ""Time_Parse_Note"": ""Parsed explicit range from text: 10:00 to 18:00. Seasonal/multiple-session details may still require recheck."", ""Time_Slot_Usable"": ""Yes""}"
PFO-A045,Makarounas Vineyards,C08,Food & Wine,Winery / Wine Tasting,Verified,10,10,90,Letymbou countryside,"{""Activity_ID"": ""PFO-A045"", ""Activity_Name"": ""Makarounas Vineyards"", ""Category"": ""Food & Wine"", ""Subcategory"": ""Winery / Wine Tasting"", ""District"": ""Paphos"", ""Area"": ""Letymbou countryside"", ""Full_Address_or_Access_Point"": ""Makarounas Vineyards, Paphos District"", ""Website"": ""https://www.makarounaswinery.com/visit/"", ""Opening_Days"": ""Monday–Saturday"", ""Opening_Hours"": ""Mon–Fri 11:00–15:00; Sat 11:00–17:00"", ""Typical_Duration_Min"": 90, ""Price_Range"": ""€€"", ""Booking_Required"": ""Yes"", ""Indoor_Outdoor_Both"": ""Both"", ""Summer_Suitable"": ""Yes"", ""Winter_Suitable"": ""Yes"", ""Rain_Suitable"": ""Yes"", ""Romantic_Score_1_10"": 10, ""Authentic_Cyprus_Score_1_10"": 10, ""Source_Primary"": ""https://www.makarounaswinery.com/visit/"", ""Last_Verified"": 46259, ""Data_Status"": ""Verified"", ""Source_Sheet"": ""Wineries"", ""Source_Record_ID"": ""MASTER:PFO-A045"", ""Notes"": ""Weekdays: wine by glass/bottle with bites; Saturday: wine tasting plus seasonal homemade dishes."", ""Parsed_Open_Time"": 0.4583333333333333, ""Parsed_Close_Time"": 0.7083333333333334, ""Time_Parse_Confidence"": ""MEDIUM"", ""Time_Parse_Note"": ""Parsed explicit range from text: 11:00 to 17:00. Seasonal/multiple-session details may still require recheck."", ""Time_Slot_Usable"": ""Yes""}"
PFO-A046,Fikardos Winery,C08,Food & Wine,Winery / Wine Tasting,Verified,9,10,75,Mesogi,"{""Activity_ID"": ""PFO-A046"", ""Activity_Name"": ""Fikardos Winery"", ""Category"": ""Food & Wine"", ""Subcategory"": ""Winery / Wine Tasting"", ""District"": ""Paphos"", ""Area"": ""Mesogi"", ""Full_Address_or_Access_Point"": ""22 Michalaki Savvidi, Mesogi, Paphos, 8280"", ""Website"": ""https://www.fikardoswines.com.cy/"", ""Phone"": ""+357 26 949 814"", ""Opening_Days"": ""Monday–Saturday; Sunday closed"", ""Opening_Hours"": ""11:00–13:00 & 14:30–18:00"", ""Typical_Duration_Min"": 75, ""Price_Range"": ""€€"", ""Booking_Required"": ""Yes"", ""Indoor_Outdoor_Both"": ""Both"", ""Summer_Suitable"": ""Yes"", ""Winter_Suitable"": ""Yes"", ""Rain_Suitable"": ""Yes"", ""Romantic_Score_1_10"": 9, ""Authentic_Cyprus_Score_1_10"": 10, ""Source_Primary"": ""https://www.fikardoswines.com.cy/contact-faq/"", ""Source_Secondary"": ""https://www.fikardoswines.com.cy/bookings/"", ""Last_Verified"": 46259, ""Data_Status"": ""Verified"", ""Source_Sheet"": ""Wineries"", ""Source_Record_ID"": ""MASTER:PFO-A046"", ""Notes"": ""Family-run winery near Paphos; tasting includes 6 wines."", ""Parsed_Open_Time"": 0.4583333333333333, ""Parsed_Close_Time"": 0.75, ""Time_Parse_Confidence"": ""MEDIUM"", ""Time_Parse_Note"": ""Parsed explicit range from text: 11:00 to 18:00. Seasonal/multiple-session details may still require recheck."", ""Time_Slot_Usable"": ""Yes""}"
