hotel_id,name,cluster_id,status,romantic_score,cleanliness_score,area,payload_json
PFO-H011,Atlantica Golden Beach,C03,QUALIFIED,,,Kissonerga,"{""Hotel_ID"": ""PFO-H011"", ""Hotel_Name"": ""Atlantica Golden Beach"", ""Area"": ""Kissonerga"", ""Hotel_Type"": ""Adults-oriented beachfront"", ""Current_Status"": ""Operating"", ""Former_or_Registry_Name"": ""Atlantica Golden Beach"", ""Official_Website"": ""https://www.atlanticahotels.com"", ""Phone"": ""+357 26 947777"", ""Review_Platform"": ""Google business"", ""Review_Count_or_Evidence"": ""4.6/5 from ~958 reviews"", ""Landscape_Type"": ""Beachfront + west-coast sunset + gardens"", ""Landscape_Value_1_10"": 9, ""Romantic_Suitability_1_10"": 9, ""Adults_Only"": ""Yes"", ""Spa"": ""Yes"", ""Pool"": ""Yes"", ""Why_It_Qualifies"": ""Good current reputation and strong coastal landscape"", ""Qualification_Status"": ""QUALIFIED"", ""Review_Source"": ""https://www.google.com/search?q=Atlantica+Golden+Beach+Paphos"", ""Official_Source"": ""https://www.atlanticahotels.com"", ""Last_Verified"": 46259, ""Notes"": ""Direct numeric cleanliness score to refresh before public launch.""}"
PFO-H012,Constantinou Bros Asimina Suites Hotel,C01,QUALIFIED,,,Geroskipou / Kato Paphos,"{""Hotel_ID"": ""PFO-H012"", ""Hotel_Name"": ""Constantinou Bros Asimina Suites Hotel"", ""Area"": ""Geroskipou / Kato Paphos"", ""Hotel_Type"": ""Adults-only luxury suites beachfront"", ""Current_Status"": ""Operating"", ""Former_or_Registry_Name"": ""Asimina Hotel and Suites"", ""Official_Website"": ""https://www.asimina-cbh.com"", ""Phone"": ""+357 26 964333"", ""Review_Platform"": ""Booking.com"", ""Review_Score_10"": 9.5, ""Cleanliness_Score_10"": 9.7, ""Review_Count_or_Evidence"": ""~189 reviews"", ""Landscape_Type"": ""Beachfront + Mediterranean + landscaped pool gardens"", ""Landscape_Value_1_10"": 9, ""Romantic_Suitability_1_10"": 10, ""Adults_Only"": ""Yes"", ""Spa"": ""Yes"", ""Pool"": ""Yes"", ""Why_It_Qualifies"": ""Exceptional cleanliness, luxury and adult romantic positioning"", ""Qualification_Status"": ""QUALIFIED"", ""Review_Source"": ""https://www.booking.com/hotel/cy/asimina-suites.html"", ""Official_Source"": ""https://www.asimina-cbh.com"", ""Last_Verified"": 46259, ""Notes"": ""Top couples option.""}"
PFO-H013,Constantinou Bros Athena Royal Beach Hotel,C01,QUALIFIED,,,Geroskipou / Kato Paphos,"{""Hotel_ID"": ""PFO-H013"", ""Hotel_Name"": ""Constantinou Bros Athena Royal Beach Hotel"", ""Area"": ""Geroskipou / Kato Paphos"", ""Hotel_Type"": ""Adults-only beachfront"", ""Current_Status"": ""Operating"", ""Former_or_Registry_Name"": ""Athena Royal Beach"", ""Official_Website"": ""https://www.athenaroyal-cbh.com"", ""Phone"": ""+357 26 884600"", ""Review_Platform"": ""Booking.com"", ""Review_Score_10"": 9, ""Cleanliness_Score_10"": 9.4, ""Review_Count_or_Evidence"": ""~178 reviews"", ""Landscape_Type"": ""Beachfront + Mediterranean + coastal gardens"", ""Landscape_Value_1_10"": 9, ""Romantic_Suitability_1_10"": 9, ""Adults_Only"": ""Yes"", ""Spa"": ""Yes"", ""Pool"": ""Yes"", ""Why_It_Qualifies"": ""Very good cleanliness and tranquil adults-only waterfront environment"", ""Qualification_Status"": ""QUALIFIED"", ""Review_Source"": ""https://www.booking.com/hotel/cy/athena-royal-beach.en-gb.html"", ""Official_Source"": ""https://www.athenaroyal-cbh.com"", ""Last_Verified"": 46259, ""Notes"": ""Good mature-couples option.""}"
PFO-H014,Constantinou Bros Pioneer Beach Hotel,C01,QUALIFIED,,,Geroskipou / Kato Paphos,"{""Hotel_ID"": ""PFO-H014"", ""Hotel_Name"": ""Constantinou Bros Pioneer Beach Hotel"", ""Area"": ""Geroskipou / Kato Paphos"", ""Hotel_Type"": ""Adults-only beachfront"", ""Current_Status"": ""Operating"", ""Former_or_Registry_Name"": ""The Pioneer Beach"", ""Official_Website"": ""https://www.pioneer-cbh.com"", ""Phone"": ""+357 26 964500"", ""Review_Platform"": ""Google business"", ""Review_Count_or_Evidence"": ""4.6/5 from ~1,292 reviews"", ""Landscape_Type"": ""Beachfront + Mediterranean + gardens"", ""Landscape_Value_1_10"": 9, ""Romantic_Suitability_1_10"": 9, ""Adults_Only"": ""Yes"", ""Spa"": ""Yes"", ""Pool"": ""Yes"", ""Why_It_Qualifies"": ""Strong current public rating and adult beachfront positioning"", ""Qualification_Status"": ""QUALIFIED"", ""Review_Source"": ""https://www.google.com/search?q=Pioneer+Beach+Hotel+Paphos"", ""Official_Source"": ""https://www.pioneer-cbh.com"", ""Last_Verified"": 46259, ""Notes"": ""Numeric cleanliness subscore to refresh before public launch.""}"
PFO-H015,Alexander The Great Beach Hotel,C01,QUALIFIED,,,Kato Paphos,"{""Hotel_ID"": ""PFO-H015"", ""Hotel_Name"": ""Alexander The Great Beach Hotel"", ""Area"": ""Kato Paphos"", ""Hotel_Type"": ""Upscale beachfront"", ""Current_Status"": ""Operating"", ""Former_or_Registry_Name"": ""Alexander The Great"", ""Official_Website"": ""https://kanikahotels.com"", ""Phone"": ""+357 25 274590"", ""Review_Platform"": ""Google business"", ""Review_Count_or_Evidence"": ""4.7/5 from ~1,790 reviews"", ""Landscape_Type"": ""Mediterranean beachfront + harbour-side coastal setting"", ""Landscape_Value_1_10"": 9, ""Romantic_Suitability_1_10"": 9, ""Adults_Only"": ""No"", ""Spa"": ""Yes"", ""Pool"": ""Yes"", ""Why_It_Qualifies"": ""Strong reputation and attractive sea-facing environment"", ""Qualification_Status"": ""QUALIFIED"", ""Review_Source"": ""https://www.google.com/search?q=Alexander+The+Great+Beach+Hotel+Paphos"", ""Official_Source"": ""https://kanikahotels.com"", ""Last_Verified"": 46259, ""Notes"": ""Include for coastline and service quality.""}"
PFO-H016,Olympic Lagoon Resorts Paphos,C01,QUALIFIED,,,Kato Paphos,"{""Hotel_ID"": ""PFO-H016"", ""Hotel_Name"": ""Olympic Lagoon Resorts Paphos"", ""Area"": ""Kato Paphos"", ""Hotel_Type"": ""Luxury beachfront resort"", ""Current_Status"": ""Operating"", ""Former_or_Registry_Name"": ""Olympic Lagoon Paphos"", ""Official_Website"": ""https://kanikahotels.com"", ""Phone"": ""+357 25 274590"", ""Review_Platform"": ""Google business"", ""Review_Count_or_Evidence"": ""4.7/5 from ~2,072 reviews"", ""Landscape_Type"": ""Beachfront + gardens + sea"", ""Landscape_Value_1_10"": 9, ""Romantic_Suitability_1_10"": 8, ""Adults_Only"": ""No"", ""Spa"": ""Yes"", ""Pool"": ""Yes"", ""Why_It_Qualifies"": ""Strong large-sample reputation and landscaped beachfront environment"", ""Qualification_Status"": ""QUALIFIED"", ""Review_Source"": ""https://www.google.com/search?q=Olympic+Lagoon+Resorts+Paphos"", ""Official_Source"": ""https://kanikahotels.com"", ""Last_Verified"": 46259, ""Notes"": ""More resort-style than intimate, but suitable.""}"
PFO-H017,Cali Resort & Spa by Louis Hotels,C03,QUALIFIED,,,Coral Bay / Pegeia,"{""Hotel_ID"": ""PFO-H017"", ""Hotel_Name"": ""Cali Resort & Spa by Louis Hotels"", ""Area"": ""Coral Bay / Pegeia"", ""Hotel_Type"": ""Adults-oriented resort"", ""Current_Status"": ""Operating / new-generation property"", ""Former_or_Registry_Name"": ""Louis Cali / former Horizon property"", ""Official_Website"": ""https://www.louishotels.com"", ""Phone"": ""+357 26 956868"", ""Review_Platform"": ""Google business"", ""Review_Count_or_Evidence"": ""4.8/5 from ~321 reviews"", ""Landscape_Type"": ""Coral Bay area + Mediterranean views"", ""Landscape_Value_1_10"": 9, ""Romantic_Suitability_1_10"": 9, ""Adults_Only"": ""Yes"", ""Spa"": ""Yes"", ""Pool"": ""Yes"", ""Why_It_Qualifies"": ""Very strong current rating and coastal romantic setting"", ""Qualification_Status"": ""QUALIFIED"", ""Review_Source"": ""https://www.google.com/search?q=Cali+Resort+Spa+Paphos"", ""Official_Source"": ""https://www.louishotels.com"", ""Last_Verified"": 46259, ""Notes"": ""Relatively new/repositioned; continue monitoring review stability.""}"
PFO-H018,Ivi Mare – Designed for Adults by Louis Hotels,C01,QUALIFIED,,,Geroskipou / Kato Paphos,"{""Hotel_ID"": ""PFO-H018"", ""Hotel_Name"": ""Ivi Mare – Designed for Adults by Louis Hotels"", ""Area"": ""Geroskipou / Kato Paphos"", ""Hotel_Type"": ""Adults-only beachfront"", ""Current_Status"": ""Operating"", ""Former_or_Registry_Name"": ""Louis Ivi Mare"", ""Official_Website"": ""https://www.louishotels.com"", ""Phone"": ""+357 26 913555"", ""Review_Platform"": ""Booking.com"", ""Review_Score_10"": 9.4, ""Cleanliness_Score_10"": 9.6, ""Review_Count_or_Evidence"": ""~819 reviews"", ""Landscape_Type"": ""Sea view + beachfront promenade + gardens"", ""Landscape_Value_1_10"": 9, ""Romantic_Suitability_1_10"": 10, ""Adults_Only"": ""Yes"", ""Spa"": ""Yes"", ""Pool"": ""Yes"", ""Why_It_Qualifies"": ""Exceptional cleanliness and adults-only romantic positioning"", ""Qualification_Status"": ""QUALIFIED"", ""Review_Source"": ""https://www.booking.com/hotel/cy/louis-ivi-mare.html"", ""Official_Source"": ""https://www.louishotels.com"", ""Last_Verified"": 46259, ""Notes"": ""Top romantic priority.""}"
PFO-H019,Demetriou Paradisos Hills Hotel,C07,QUALIFIED,,,Lysos,"{""Hotel_ID"": ""PFO-H019"", ""Hotel_Name"": ""Demetriou Paradisos Hills Hotel"", ""Area"": ""Lysos"", ""Hotel_Type"": ""Traditional rural hotel"", ""Current_Status"": ""Operating"", ""Former_or_Registry_Name"": ""Demetriou Paradisos Hills"", ""Official_Website"": ""https://www.paradisoshills.com"", ""Phone"": ""+357 26 322287"", ""Review_Platform"": ""Booking.com"", ""Review_Score_10"": 9.3, ""Cleanliness_Score_10"": 9.1, ""Review_Count_or_Evidence"": ""~278 reviews"", ""Landscape_Type"": ""Forest edge + Troodos Mountains + Mediterranean views"", ""Landscape_Value_1_10"": 10, ""Romantic_Suitability_1_10"": 10, ""Adults_Only"": ""No"", ""Spa"": ""No"", ""Pool"": ""Yes"", ""Why_It_Qualifies"": ""Excellent reviews, high cleanliness and outstanding natural setting"", ""Qualification_Status"": ""QUALIFIED"", ""Review_Source"": ""https://www.booking.com/hotel/cy/demetriou-paradisos-hills.html"", ""Official_Source"": ""https://www.paradisoshills.com"", ""Last_Verified"": 46259, ""Notes"": ""Best rural/forest romantic option identified.""}"
PFO-H020,Aphrodite Beach Hotel,C05,QUALIFIED,,,Neo Chorio / Polis Chrysochous,"{""Hotel_ID"": ""PFO-H020"", ""Hotel_Name"": ""Aphrodite Beach Hotel"", ""Area"": ""Neo Chorio / Polis Chrysochous"", ""Hotel_Type"": ""Small family-run beachfront hotel"", ""Current_Status"": ""Operating"", ""Former_or_Registry_Name"": ""Aphrodite Beach"", ""Official_Website"": ""https://www.aphrodite-beachhotel.com"", ""Phone"": ""+357 26 321001"", ""Review_Platform"": ""Booking.com"", ""Review_Score_10"": 9.4, ""Cleanliness_Score_10"": 9.5, ""Review_Count_or_Evidence"": ""~1,170 reviews"", ""Landscape_Type"": ""Yiannakis Beach + Akamas Natural Park + lush gardens"", ""Landscape_Value_1_10"": 10, ""Romantic_Suitability_1_10"": 10, ""Adults_Only"": ""No"", ""Spa"": ""No"", ""Pool"": ""No"", ""Why_It_Qualifies"": ""Exceptional cleanliness, outstanding location and direct nature connection"", ""Qualification_Status"": ""QUALIFIED"", ""Review_Source"": ""https://www.booking.com/hotel/cy/aphrodite-beach-polis.html"", ""Official_Source"": ""https://www.aphrodite-beachhotel.com"", ""Last_Verified"": 46259, ""Notes"": ""Excellent example showing star category is less important than quality and landscape.""}"
PFO-H021,Palates Hotel,C04,QUALIFIED,,,Droushia,"{""Hotel_ID"": ""PFO-H021"", ""Hotel_Name"": ""Palates Hotel"", ""Area"": ""Droushia"", ""Hotel_Type"": ""Traditional stone village hotel"", ""Current_Status"": ""Operating"", ""Former_or_Registry_Name"": ""Palates"", ""Official_Website"": ""https://droushiahotelpalates.com"", ""Phone"": ""+357 26 332083"", ""Review_Platform"": ""Booking.com"", ""Review_Score_10"": 8.9, ""Cleanliness_Score_10"": 9, ""Review_Count_or_Evidence"": ""~287 reviews"", ""Landscape_Type"": ""Mountain village + Chrysochous Bay / Mediterranean panorama + gardens"", ""Landscape_Value_1_10"": 10, ""Romantic_Suitability_1_10"": 9, ""Adults_Only"": ""No"", ""Spa"": ""No"", ""Pool"": ""Yes"", ""Why_It_Qualifies"": ""High cleanliness, very good reviews and panoramic rural landscape"", ""Qualification_Status"": ""QUALIFIED"", ""Review_Source"": ""https://www.booking.com/hotel/cy/palates.html"", ""Official_Source"": ""https://droushiahotelpalates.com"", ""Last_Verified"": 46259, ""Notes"": ""Preferred over Droushia Heights under current stricter quality filter.""}"
PFO-H022,M Boutique Hotel – Designed for Adults,C01,QUALIFIED,,,Kato Paphos,"{""Hotel_ID"": ""PFO-H022"", ""Hotel_Name"": ""M Boutique Hotel – Designed for Adults"", ""Area"": ""Kato Paphos"", ""Hotel_Type"": ""Adults-only 5-star boutique"", ""Current_Status"": ""Operating"", ""Former_or_Registry_Name"": ""M Boutique Hotel"", ""Official_Website"": ""https://m-boutiquehotel.com/"", ""Review_Platform"": ""Booking.com"", ""Review_Score_10"": 9.1, ""Cleanliness_Score_10"": 9.5, ""Review_Count_or_Evidence"": ""~2,199 reviews"", ""Landscape_Type"": ""Urban boutique + pool + near seafront/harbour"", ""Landscape_Value_1_10"": 8, ""Romantic_Suitability_1_10"": 10, ""Adults_Only"": ""Yes"", ""Spa"": ""Yes"", ""Pool"": ""Yes"", ""Why_It_Qualifies"": ""Adults-only design hotel; excellent cleanliness; very high location score; romantic restaurant/spa positioning"", ""Qualification_Status"": ""QUALIFIED"", ""Review_Source"": ""https://www.booking.com/hotel/cy/m-boutique-paphos.html"", ""Official_Source"": ""https://m-boutiquehotel.com/"", ""Last_Verified"": 46261, ""Notes"": ""Strong urban-romantic addition.""}"
PFO-H023,King Jason Paphos – Designed for Adults by Louis Hotels,C01,QUALIFIED,,,Kato Paphos,"{""Hotel_ID"": ""PFO-H023"", ""Hotel_Name"": ""King Jason Paphos – Designed for Adults by Louis Hotels"", ""Area"": ""Kato Paphos"", ""Hotel_Type"": ""Adults-only 4-star plus retreat"", ""Current_Status"": ""Operating"", ""Former_or_Registry_Name"": ""The King Jason Paphos"", ""Official_Website"": ""https://www.kingjasonpaphos.com/"", ""Phone"": ""+357 26 947750"", ""Review_Platform"": ""Booking.com"", ""Review_Score_10"": 9.4, ""Cleanliness_Score_10"": 9.4, ""Review_Count_or_Evidence"": ""~389 reviews"", ""Landscape_Type"": ""Peaceful gardens + pools + quiet central setting"", ""Landscape_Value_1_10"": 8, ""Romantic_Suitability_1_10"": 10, ""Adults_Only"": ""Yes"", ""Spa"": ""Yes"", ""Pool"": ""Yes"", ""Why_It_Qualifies"": ""Adults-only; exceptional review score; tranquil grounds; suited to relaxed couples"", ""Qualification_Status"": ""QUALIFIED"", ""Review_Source"": ""https://www.booking.com/hotel/cy/louis-king-jason.en-gb.html"", ""Official_Source"": ""https://www.kingjasonpaphos.com/"", ""Last_Verified"": 46261, ""Notes"": ""Strong adults-only urban retreat.""}"
