restaurant_id,name,cluster_id,data_status,area,meal_type,romantic_score,authentic_score,payload_json
PFO-R011,Petradaki Tavern,C04,Verified,Kathikas,Lunch / Dinner,9,10,"{""Restaurant_ID"": ""PFO-R011"", ""Venue_Name"": ""Petradaki Tavern"", ""District"": ""Paphos"", ""Area"": ""Kathikas"", ""Full_Address"": ""45 Kato Vrisi Street, Kathikas 8573, Paphos"", ""Website"": ""https://petradakitavern.com/"", ""Phone"": ""+357 99 596528"", ""Meal_Type"": ""Lunch / Dinner"", ""Cuisine"": ""Traditional Cypriot"", ""Opening_Days"": ""Current operating days published via booking/local listings; confirm before itinerary"", ""Opening_Hours"": ""Current schedule varies by day"", ""Lunch_Hours"": ""Weekend lunch available"", ""Dinner_Hours"": ""Dinner available"", ""Coffee_Dessert"": ""Traditional desserts"", ""Price_Range"": ""€€"", ""Reservation_Recommended"": ""Yes"", ""Indoor_Outdoor_Both"": ""Both"", ""Romantic_Score_1_10"": 9, ""Authentic_Cyprus_Score_1_10"": 10, ""Hotel_or_Standalone"": ""Standalone"", ""Source_Primary"": ""https://petradakitavern.com/"", ""Source_Secondary"": ""https://www.visitcyprus.com/wp-content/uploads/files/catering_and_entertainment/GASTRONOMY_2023/GASTRONOMY_PAPHOS_27_6_2023_EN.pdf"", ""Last_Verified"": 46259, ""Data_Status"": ""Verified""}"
PFO-R012,Yiannis Tavern,C04,Draft,Kathikas,Lunch / Dinner,8,10,"{""Restaurant_ID"": ""PFO-R012"", ""Venue_Name"": ""Yiannis Tavern"", ""District"": ""Paphos"", ""Area"": ""Kathikas"", ""Full_Address"": ""11 Georgiou Kleanthous Street, Kathikas 8573, Paphos"", ""Phone"": ""+357 26 633353"", ""Meal_Type"": ""Lunch / Dinner"", ""Cuisine"": ""Cypriot / Greek"", ""Opening_Days"": ""Official tourism wine-route guide lists venue; current hours require direct confirmation"", ""Opening_Hours"": ""Confirm directly"", ""Lunch_Hours"": ""Yes"", ""Dinner_Hours"": ""Yes"", ""Coffee_Dessert"": ""No"", ""Price_Range"": ""€€"", ""Reservation_Recommended"": ""Recommended"", ""Indoor_Outdoor_Both"": ""Both"", ""Romantic_Score_1_10"": 8, ""Authentic_Cyprus_Score_1_10"": 10, ""Hotel_or_Standalone"": ""Standalone"", ""Source_Primary"": ""https://www.visitcyprus.com/files/wine_routes/Cyprus_Wine_Routes_4600414_EN.pdf"", ""Last_Verified"": 46259, ""Data_Status"": ""Draft""}"
PFO-R013,To Stekki Tou Panai,C04,Draft,Kathikas,Lunch / Dinner,8,10,"{""Restaurant_ID"": ""PFO-R013"", ""Venue_Name"": ""To Stekki Tou Panai"", ""District"": ""Paphos"", ""Area"": ""Kathikas"", ""Full_Address"": ""2 Agoniston Street, Kathikas 8573, Paphos"", ""Phone"": ""+357 96 771622"", ""Meal_Type"": ""Lunch / Dinner"", ""Cuisine"": ""Cypriot"", ""Opening_Days"": ""Official gastronomy register confirms establishment; current hours require direct confirmation"", ""Opening_Hours"": ""Confirm directly"", ""Lunch_Hours"": ""Yes"", ""Dinner_Hours"": ""Yes"", ""Coffee_Dessert"": ""No"", ""Price_Range"": ""€€"", ""Reservation_Recommended"": ""Recommended"", ""Indoor_Outdoor_Both"": ""Both"", ""Romantic_Score_1_10"": 8, ""Authentic_Cyprus_Score_1_10"": 10, ""Hotel_or_Standalone"": ""Standalone"", ""Source_Primary"": ""https://www.visitcyprus.com/wp-content/uploads/files/catering_and_entertainment/GASTRONOMY_2023/GASTRONOMY_PAPHOS_27_6_2023_EN.pdf"", ""Last_Verified"": 46259, ""Data_Status"": ""Draft""}"
PFO-R014,Phinikas Tavern,C04,Draft,Droushia,Lunch / Dinner,8,10,"{""Restaurant_ID"": ""PFO-R014"", ""Venue_Name"": ""Phinikas Tavern"", ""District"": ""Paphos"", ""Area"": ""Droushia"", ""Full_Address"": ""10 Agiou Georgiou Street, Droushia 8700, Paphos"", ""Phone"": ""+357 26 332276"", ""Meal_Type"": ""Lunch / Dinner"", ""Cuisine"": ""Traditional Cypriot"", ""Opening_Days"": ""Official wine-route guide lists venue; current hours require direct confirmation"", ""Opening_Hours"": ""Confirm directly"", ""Lunch_Hours"": ""Yes"", ""Dinner_Hours"": ""Yes"", ""Coffee_Dessert"": ""No"", ""Price_Range"": ""€€"", ""Reservation_Recommended"": ""Recommended"", ""Indoor_Outdoor_Both"": ""Both"", ""Romantic_Score_1_10"": 8, ""Authentic_Cyprus_Score_1_10"": 10, ""Hotel_or_Standalone"": ""Standalone"", ""Source_Primary"": ""https://www.visitcyprus.com/files/wine_routes/Cyprus_Wine_Routes_4600414_EN.pdf"", ""Source_Secondary"": ""https://droushiahotelpalates.com/en/droushia-ten.html"", ""Last_Verified"": 46259, ""Data_Status"": ""Draft""}"
PFO-R015,Steni Restaurant,C07,Draft,Steni,Lunch / Dinner,8,10,"{""Restaurant_ID"": ""PFO-R015"", ""Venue_Name"": ""Steni Restaurant"", ""District"": ""Paphos"", ""Area"": ""Steni"", ""Full_Address"": ""Steni 8884, Paphos, Cyprus"", ""Phone"": ""+357 99 233187"", ""Meal_Type"": ""Lunch / Dinner"", ""Cuisine"": ""Cypriot"", ""Opening_Days"": ""Official gastronomy register confirms establishment; hours to verify"", ""Opening_Hours"": ""Confirm directly"", ""Lunch_Hours"": ""Yes"", ""Dinner_Hours"": ""Yes"", ""Coffee_Dessert"": ""No"", ""Price_Range"": ""€€"", ""Reservation_Recommended"": ""Recommended"", ""Indoor_Outdoor_Both"": ""Both"", ""Romantic_Score_1_10"": 8, ""Authentic_Cyprus_Score_1_10"": 10, ""Hotel_or_Standalone"": ""Standalone"", ""Source_Primary"": ""https://www.visitcyprus.com/wp-content/uploads/files/catering_and_entertainment/GASTRONOMY_2023/GASTRONOMY_PAPHOS_27_6_2023_EN.pdf"", ""Last_Verified"": 46259, ""Data_Status"": ""Draft""}"
PFO-R016,Porto Latchi Restaurant,C05,Draft,Latchi,Lunch / Dinner,9,8,"{""Restaurant_ID"": ""PFO-R016"", ""Venue_Name"": ""Porto Latchi Restaurant"", ""District"": ""Paphos"", ""Area"": ""Latchi"", ""Full_Address"": ""Latchi Harbour, Polis Chrysochous, Paphos"", ""Website"": ""http://www.portolatchi.com"", ""Phone"": ""+357 26 529530"", ""Meal_Type"": ""Lunch / Dinner"", ""Cuisine"": ""Seafood"", ""Opening_Days"": ""Listed by Polis local tourism/business directory"", ""Opening_Hours"": ""Current operator hours to confirm"", ""Lunch_Hours"": ""Yes"", ""Dinner_Hours"": ""Yes"", ""Coffee_Dessert"": ""No"", ""Price_Range"": ""€€€"", ""Reservation_Recommended"": ""Recommended"", ""Indoor_Outdoor_Both"": ""Both"", ""Romantic_Score_1_10"": 9, ""Authentic_Cyprus_Score_1_10"": 8, ""Hotel_or_Standalone"": ""Standalone"", ""Source_Primary"": ""https://www.polis.town/listings/view/51"", ""Source_Secondary"": ""https://www.polis.org.cy/en/latchi-harbour"", ""Last_Verified"": 46259, ""Data_Status"": ""Draft""}"
PFO-R017,Faros No. 2 Latchi Restaurant,C05,Draft,Polis / Latchi,Lunch / Dinner,9,8,"{""Restaurant_ID"": ""PFO-R017"", ""Venue_Name"": ""Faros No. 2 Latchi Restaurant"", ""District"": ""Paphos"", ""Area"": ""Polis / Latchi"", ""Full_Address"": ""Akamantos Street, 8840 Polis Chrysochous, Paphos"", ""Website"": ""https://www.visitcyprus.com/el/el-anakalypste-ten-kypro/el-gastronomy/faros-no-2-latchi-restaurant/"", ""Meal_Type"": ""Lunch / Dinner"", ""Cuisine"": ""Seafood / Local"", ""Opening_Days"": ""Official Visit Cyprus listing; current operator schedule to confirm"", ""Opening_Hours"": ""Confirm directly"", ""Lunch_Hours"": ""Yes"", ""Dinner_Hours"": ""Yes"", ""Coffee_Dessert"": ""No"", ""Price_Range"": ""€€€"", ""Reservation_Recommended"": ""Recommended"", ""Indoor_Outdoor_Both"": ""Both"", ""Romantic_Score_1_10"": 9, ""Authentic_Cyprus_Score_1_10"": 8, ""Hotel_or_Standalone"": ""Standalone"", ""Source_Primary"": ""https://www.visitcyprus.com/el/el-anakalypste-ten-kypro/el-gastronomy/faros-no-2-latchi-restaurant/"", ""Source_Secondary"": ""https://www.polis.org.cy/en/latchi-harbour"", ""Last_Verified"": 46259, ""Data_Status"": ""Draft""}"
PFO-R018,Pithari Tavern,C02,Verified,Aphrodite Hills / Kouklia,Dinner,9,9,"{""Restaurant_ID"": ""PFO-R018"", ""Venue_Name"": ""Pithari Tavern"", ""District"": ""Paphos"", ""Area"": ""Aphrodite Hills / Kouklia"", ""Full_Address"": ""Aphrodite Hills Resort, 3 Aphrodite Avenue, Kouklia 8509, Paphos"", ""Website"": ""https://www.aphroditehills.com/luxury-hotel/dining/"", ""Phone"": ""+357 26 828000"", ""Meal_Type"": ""Dinner"", ""Cuisine"": ""Greek Cypriot"", ""Opening_Days"": ""Resort operation; reservation required"", ""Opening_Hours"": ""Current service times vary by season"", ""Lunch_Hours"": ""No"", ""Dinner_Hours"": ""Yes"", ""Coffee_Dessert"": ""No"", ""Price_Range"": ""€€€"", ""Reservation_Recommended"": ""Yes"", ""Indoor_Outdoor_Both"": ""Outdoor / Terrace"", ""Romantic_Score_1_10"": 9, ""Authentic_Cyprus_Score_1_10"": 9, ""Hotel_or_Standalone"": ""Hotel / Resort"", ""Source_Primary"": ""https://www.aphroditehills.com/luxury-hotel/dining/"", ""Source_Secondary"": ""https://www.aphroditehills.com/luxury-hotel/useful-information/"", ""Last_Verified"": 46259, ""Data_Status"": ""Verified""}"
PFO-R019,Vouni Panayia Winery Restaurant,C09,Verified,Pano Panagia,Lunch,10,10,"{""Restaurant_ID"": ""PFO-R019"", ""Venue_Name"": ""Vouni Panayia Winery Restaurant"", ""District"": ""Paphos"", ""Area"": ""Pano Panagia"", ""Full_Address"": ""Vouni Panayia Winery, 60 Archiepiskopou Makariou III Avenue, Panagia 8640"", ""Latitude"": 34.921121, ""Longitude"": 32.625855, ""Website"": ""https://www.vounipanayiawinery.com/"", ""Phone"": ""+357 26 722770"", ""Meal_Type"": ""Lunch"", ""Cuisine"": ""Traditional Cypriot / Seasonal"", ""Opening_Days"": ""All year; reservation recommended"", ""Opening_Hours"": ""Contact winery for current service hours"", ""Lunch_Hours"": ""Yes"", ""Dinner_Hours"": ""No"", ""Coffee_Dessert"": ""No"", ""Price_Range"": ""€€€"", ""Reservation_Recommended"": ""Yes"", ""Indoor_Outdoor_Both"": ""Both"", ""Romantic_Score_1_10"": 10, ""Authentic_Cyprus_Score_1_10"": 10, ""Hotel_or_Standalone"": ""Winery Restaurant"", ""Source_Primary"": ""https://www.agrotourism.com.cy/el/node/270"", ""Source_Secondary"": ""https://www.visitpafos.org.cy/off-the-beaten-track/wineries/"", ""Last_Verified"": 46259, ""Data_Status"": ""Verified""}"
PFO-R020,Petradaki Winery Experience / Sunday Lunch,C04,Verified,Kathikas,Sunday Lunch / Wine,9,10,"{""Restaurant_ID"": ""PFO-R020"", ""Venue_Name"": ""Petradaki Winery Experience / Sunday Lunch"", ""District"": ""Paphos"", ""Area"": ""Kathikas"", ""Full_Address"": ""45 Kato Vrisi Street, Kathikas 8573, Paphos"", ""Website"": ""https://petradakitavern.com/"", ""Phone"": ""+357 99 596528"", ""Meal_Type"": ""Sunday Lunch / Wine"", ""Cuisine"": ""Cypriot"", ""Opening_Days"": ""Sunday lunch highlighted by operator"", ""Opening_Hours"": ""Book ahead"", ""Lunch_Hours"": ""Yes"", ""Coffee_Dessert"": ""Yes"", ""Price_Range"": ""€€"", ""Reservation_Recommended"": ""Yes"", ""Indoor_Outdoor_Both"": ""Both"", ""Romantic_Score_1_10"": 9, ""Authentic_Cyprus_Score_1_10"": 10, ""Hotel_or_Standalone"": ""Standalone"", ""Source_Primary"": ""https://petradakitavern.com/"", ""Source_Secondary"": ""https://petradakitavern.com/menu/"", ""Last_Verified"": 46259, ""Data_Status"": ""Verified""}"
PFO-R021,Golf Clubhouse Restaurant,C02,Verified,Aphrodite Hills / Kouklia,Breakfast / Lunch / Dinner,9,7,"{""Restaurant_ID"": ""PFO-R021"", ""Venue_Name"": ""Golf Clubhouse Restaurant"", ""District"": ""Paphos"", ""Area"": ""Aphrodite Hills / Kouklia"", ""Full_Address"": ""Aphrodite Hills Resort, 3 Aphrodite Avenue, Kouklia 8509, Paphos"", ""Website"": ""https://www.aphroditehills.com/golf/club-restaurant/"", ""Phone"": ""+357 26 829207"", ""Meal_Type"": ""Breakfast / Lunch / Dinner"", ""Cuisine"": ""Mediterranean / Cypriot / International"", ""Opening_Days"": ""Daily"", ""Opening_Hours"": ""Open daily 08:00–19:00; à la carte 08:00–17:00; dinner 18:30–21:30 on rotation basis"", ""Lunch_Hours"": ""08:00–17:00"", ""Dinner_Hours"": ""18:30–21:30 (rotation basis)"", ""Coffee_Dessert"": ""Yes"", ""Price_Range"": ""€€€"", ""Reservation_Recommended"": ""Recommended"", ""Indoor_Outdoor_Both"": ""Both"", ""Romantic_Score_1_10"": 9, ""Authentic_Cyprus_Score_1_10"": 7, ""Hotel_or_Standalone"": ""Resort / Golf Clubhouse"", ""Source_Primary"": ""https://www.aphroditehills.com/golf/club-restaurant/"", ""Source_Secondary"": ""https://www.aphroditehills.com/golf-shop-dine/"", ""Last_Verified"": 46261, ""Data_Status"": ""Verified""}"
PFO-R022,Symposio Pissouri,C13,Verified,Pissouri Village Square,Lunch / Dinner,9,10,"{""Restaurant_ID"": ""PFO-R022"", ""Venue_Name"": ""Symposio Pissouri"", ""District"": ""Limassol – Cross-District Extension"", ""Area"": ""Pissouri Village Square"", ""Full_Address"": ""Pissouri Square, Apostolou Andrea 20, Pissouri 4607, Limassol"", ""Website"": ""https://www.visitcyprus.com/el/el-anakalypste-ten-kypro/el-gastronomy/symposio-pissouri/"", ""Phone"": ""+357 99 123777"", ""Meal_Type"": ""Lunch / Dinner"", ""Cuisine"": ""Traditional Cypriot / Greek / Mediterranean"", ""Opening_Days"": ""Mon, Tue, Thu, Fri, Sat, Sun; Wed closed"", ""Opening_Hours"": ""Current listing: Mon/Thu 12:30–22:00; Tue/Sun/Sat 15:00–22:00; Fri 15:00–22:30"", ""Lunch_Hours"": ""Lunch available on selected days; confirm exact date"", ""Dinner_Hours"": ""Until approx. 22:00–22:30"", ""Coffee_Dessert"": ""Yes"", ""Price_Range"": ""€€–€€€"", ""Reservation_Recommended"": ""Yes"", ""Indoor_Outdoor_Both"": ""Both / Square seating"", ""Romantic_Score_1_10"": 9, ""Authentic_Cyprus_Score_1_10"": 10, ""Hotel_or_Standalone"": ""Standalone"", ""Source_Primary"": ""https://www.visitcyprus.com/el/el-anakalypste-ten-kypro/el-gastronomy/symposio-pissouri/"", ""Source_Secondary"": ""https://www.waze.com/el/live-map/directions/cy/limasol/pissoyri/symposio-pissouri?to=place.ChIJl227Cs0Z5xQR6z7BUYZzzrs"", ""Last_Verified"": 46261, ""Data_Status"": ""Verified""}"
